ISSUE_ID,STREAM_NAME,RELEASE,WORK_ITEM_ID,WORK_ITEM_STATUS,COMMIT_ID,CHECK_IN_DATE
1000,APP-Analytics,4.0.0.4000,250239,In Review,,
1001,APP-Analytics,4.0.0.4000,250238,New,,
1002,Platform-ServiceFramework,1.0.0.1000,279045,Completed,n3k3m5v3,8/3/25 0:00
1003,Platform-IntegrationService,2.0.0.2000,233656,Active,,
1004,Platform-ServiceFramework,1.0.0.1000,299788,Checked in,n4k1p6c6,6/27/25 0:00
1005,APP-UI-UX,3.0.0.3000,208500,Completed,d4q3a3d9,3/21/25 4:32
1006,APP-UI-UX,3.0.0.3000,208593,Completed,j9w9n1u0,1/22/25 9:23
1007,APP-Analytics,4.0.0.4000,289954,In Review,,
1008,APP-Analytics,4.0.0.4000,202006,In Review,,
1009,APP-UI-UX,3.0.0.3000,213196,In Review,,
1010,APP-UI-UX,3.0.0.3000,234196,In Review,,
1011,Platform-IntegrationService,2.0.0.2000,298281,New,,
1012,Platform-IntegrationService,2.0.0.2000,223934,Completed,k8s3o1h0,5/28/25 0:19
1013,Platform-IntegrationService,2.0.0.2000,273145,Active,,
1014,Platform-IntegrationService,2.0.0.2000,253246,Active,,
1015,Platform-IntegrationService,2.0.0.2000,288391,New,,
1016,Platform-ServiceFramework,1.0.0.1000,278842,Checked in,n7x3q4y3,3/14/25 14:25
1017,Platform-ServiceFramework,1.0.0.1000,257823,In Review,,
1018,APP-Analytics,4.0.0.4000,236200,Checked in,y9n0x7h5,5/26/25 4:16
1019,Platform-IntegrationService,2.0.0.2000,273720,In Review,,
1020,Platform-IntegrationService,2.0.0.2000,297993,In Review,,
1021,APP-Analytics,4.0.0.4000,245392,Active,,
1022,Platform-IntegrationService,2.0.0.2000,208921,New,,
1023,APP-Analytics,4.0.0.4000,258654,In Review,,
1024,APP-UI-UX,3.0.0.3000,200479,In Review,,
1025,APP-Analytics,4.0.0.4000,237864,In Review,,
1026,Platform-ServiceFramework,1.0.0.1000,236479,Completed,k9c0l0u6,3/5/25 11:26
1027,Platform-ServiceFramework,1.0.0.1000,262299,New,,
1028,Platform-IntegrationService,2.0.0.2000,218174,Completed,x3p3f7h9,5/11/25 12:28
1029,Platform-IntegrationService,2.0.0.2000,278186,Completed,e6q4p6c9,10/13/25 8:27
1030,Platform-ServiceFramework,1.0.0.1000,247620,Completed,j1c4e6o4,6/14/25 15:50
1031,Platform-IntegrationService,2.0.0.2000,247685,Completed,l5o1f7k6,7/10/25 0:00
1032,Platform-ServiceFramework,1.0.0.1000,252079,Completed,f0v2k9p4,2/2/25 16:37
1033,APP-UI-UX,3.0.0.3000,257283,Completed,b8u5l1d9,9/10/25 6:38
1034,APP-Analytics,4.0.0.4000,268524,New,,
1035,Platform-IntegrationService,2.0.0.2000,267668,New,,
1036,APP-UI-UX,3.0.0.3000,225047,Active,,
1037,Platform-ServiceFramework,1.0.0.1000,293395,Checked in,i9s8o2q0,7/17/25 16:39
1038,Platform-ServiceFramework,1.0.0.1000,252704,Active,,
1039,Platform-ServiceFramework,1.0.0.1000,297399,In Review,,
1040,Platform-IntegrationService,2.0.0.2000,205218,In Review,,
1041,Platform-ServiceFramework,1.0.0.1000,228197,New,,
1042,Platform-IntegrationService,2.0.0.2000,278279,Completed,h6c1e8a3,6/9/25 14:09
1043,APP-UI-UX,3.0.0.3000,226358,In Review,,
1044,Platform-ServiceFramework,1.0.0.1000,211460,New,,
1045,APP-Analytics,4.0.0.4000,203157,Completed,r9o4k9r5,
1046,APP-Analytics,4.0.0.4000,203757,New,,
1047,Platform-IntegrationService,2.0.0.2000,205324,New,,
1048,Platform-ServiceFramework,1.0.0.1000,284919,In Review,,
1049,APP-UI-UX,3.0.0.3000,273690,Checked in,o8w7m7h0,9/29/25 13:18
1050,Platform-ServiceFramework,1.0.0.1000,287296,New,,
1051,Platform-ServiceFramework,1.0.0.1000,277108,New,,
1052,APP-Analytics,4.0.0.4000,246513,Checked in,k6w3l2h7,1/8/25 9:50
1053,APP-Analytics,4.0.0.4000,272580,Checked in,m7l3t7y7,1/22/25 9:55
1054,APP-UI-UX,3.0.0.3000,283163,Active,,
1055,APP-Analytics,4.0.0.4000,240607,Checked in,b2v1l6h5,10/6/25 19:03
1056,Platform-ServiceFramework,1.0.0.1000,281393,Active,,
1057,Platform-ServiceFramework,1.0.0.1000,223337,In Review,,
1058,APP-UI-UX,3.0.0.3000,233767,Active,,
1059,Platform-ServiceFramework,1.0.0.1000,293388,New,,
1060,APP-Analytics,4.0.0.4000,254452,Completed,r7t2l9z5,2/24/25 6:43
1061,Platform-IntegrationService,2.0.0.2000,272211,Checked in,s4a8n1f8,4/17/25 1:10
1062,Platform-ServiceFramework,1.0.0.1000,224055,Active,,
1063,Platform-IntegrationService,2.0.0.2000,261800,Completed,p9v3u0s2,8/3/25 22:48
1064,Platform-IntegrationService,2.0.0.2000,277694,In Review,,
1065,Platform-ServiceFramework,1.0.0.1000,256288,Active,,
1066,Platform-ServiceFramework,1.0.0.1000,278276,Checked in,o8p7m4y5,9/14/25 19:03
1067,APP-Analytics,4.0.0.4000,281938,Completed,w8n2h1j8,1/18/25 20:40
1068,APP-UI-UX,3.0.0.3000,290089,Active,,
1069,APP-UI-UX,3.0.0.3000,267781,Completed,f2g8d0o1,1/29/25 6:41
1070,APP-Analytics,4.0.0.4000,294645,New,,
1071,Platform-ServiceFramework,1.0.0.1000,290120,In Review,,
1072,Platform-IntegrationService,2.0.0.2000,215533,New,,
1073,APP-UI-UX,3.0.0.3000,241936,In Review,,
1074,APP-Analytics,4.0.0.4000,232494,Active,,
1075,APP-UI-UX,3.0.0.3000,292289,New,,
